x,y,z,entity_type
188.69771736053198,31.11051444488854,0.0,CIRCLE
188.6818381544798,31.138018036554776,0.0,CIRCLE
188.65631570588582,31.182224214253136,0.0,CIRCLE
188.62192147415337,31.24179677110105,0.0,CIRCLE
188.57942691868578,31.31539950021595,0.0,CIRCLE
188.52960349888644,31.401696194715267,0.0,CIRCLE
188.47322267415865,31.49935064771643,0.0,CIRCLE
188.41105590390578,31.607026652336867,0.0,CIRCLE
188.34387464753115,31.72338800169401,0.0,CIRCLE
188.27245036443816,31.84709848890529,0.0,CIRCLE
188.19755451403006,31.97682190708813,0.0,CIRCLE
188.11995855571033,32.11122204935997,0.0,CIRCLE
188.04043394888217,32.24896270883823,0.0,CIRCLE
187.95975215294902,32.388707678640344,0.0,CIRCLE
187.8786846273142,32.52912075188375,0.0,CIRCLE
187.79800283138104,32.66886572168587,0.0,CIRCLE
187.7184782245529,32.80660638116414,0.0,CIRCLE
187.64088226623318,32.94100652343597,0.0,CIRCLE
187.5659864158251,33.070729941618815,0.0,CIRCLE
187.49456213273209,33.19444042883009,0.0,CIRCLE
187.4273808763575,33.31080177818724,0.0,CIRCLE
187.36521410610462,33.41847778280768,0.0,CIRCLE
187.3088332813768,33.51613223580884,0.0,CIRCLE
187.25900986157745,33.60242893030815,0.0,CIRCLE
187.2165153061099,33.67603165942305,0.0,CIRCLE
187.18212107437742,33.735604216270964,0.0,CIRCLE
187.1565986257834,33.77981039396933,0.0,CIRCLE
187.14071941973123,33.80731398563556,0.0,CIRCLE
187.13525491562422,33.8167787843871,0.0,CIRCLE
187.13525491562422,33.8167787843871,0.0,CIRCLE
187.12794198173103,33.82490062028897,0.0,CIRCLE
187.1066914561827,33.848501719909706,0.0,CIRCLE
187.0725357531757,33.88643547112198,0.0,CIRCLE
187.02650728690696,33.93755526179847,0.0,CIRCLE
186.969638471573,34.00071447981186,0.0,CIRCLE
186.90296172137062,34.074766513034824,0.0,CIRCLE
186.82750945049634,34.15856474934002,0.0,CIRCLE
186.744314073147,34.25096257660015,0.0,CIRCLE
186.65440800351922,34.35081338268788,0.0,CIRCLE
186.55882365580968,34.456970555475884,0.0,CIRCLE
186.45859344421507,34.56828748283685,0.0,CIRCLE
186.35474978293203,34.68361755264344,0.0,CIRCLE
186.24832508615734,34.801814152768344,0.0,CIRCLE
186.14035176808758,34.92173067108423,0.0,CIRCLE
186.03186224291952,35.04222049546377,0.0,CIRCLE
185.92388892484976,35.16213701377966,0.0,CIRCLE
185.81746422807507,35.28033361390456,0.0,CIRCLE
185.71362056679203,35.395663683711156,0.0,CIRCLE
185.61339035519742,35.506980611072116,0.0,CIRCLE
185.51780600748788,35.613137783860125,0.0,CIRCLE
185.42789993786008,35.712988589947855,0.0,CIRCLE
185.34470456051073,35.805386417207984,0.0,CIRCLE
185.26925228963648,35.88918465351319,0.0,CIRCLE
185.20257553943406,35.963236686736145,0.0,CIRCLE
185.14570672410014,36.026395904749535,0.0,CIRCLE
185.09967825783136,36.07751569542602,0.0,CIRCLE
185.06552255482444,36.1154494466383,0.0,CIRCLE
185.04427202927607,36.139050546259035,0.0,CIRCLE
185.03695909538288,36.14717238216091,0.0,CIRCLE
185.03695909538288,36.14717238216091,0.0,CIRCLE
185.02811734200606,36.153596292011315,0.0,CIRCLE
185.00242424689924,36.17226341828248,0.0,CIRCLE
184.96112805759805,36.202266856054365,0.0,CIRCLE
